feature,importance
V24,0.0050283421693204915
hour_of_day,0.004553531239584788
is_small_amount,0.0014712744387167258
is_night,0.00016670880609133504
is_large_amount,0.00014623973440649882
V16,0.023609189575587088
V9,0.021789036995081893
V2,0.01937935183638366
amount_log,0.013400666120651073
V13,0.007746367571200218
V22,0.007266648395907877
V26,0.006983105555466197
V15,0.006789335034990845
V5,0.006293751527976412
V23,0.005706984190907524
V28,0.0056974914518347335
V25,0.005434134870193577
V21,0.012245985838477288
V8,0.011186924993439453
V20,0.011152444610114106
V19,0.010258817607433518
V14,0.18345104801009385
V12,0.11009374409243008
V10,0.10851396394979693
V4,0.10196764053182276
V17,0.09712765442551526
V11,0.08605828309186035
V3,0.05266558474018193
V7,0.03584914439750576
V1,0.009814291855721255
V18,0.009695178124506605
V6,0.009326499837161474
V27,0.009130634379638299
