hour_of_day,total_txns,fraud_count,legit_count,fraud_rate_pct,fraud_rank
0,7695,6,7689,0.0780,24
1,4220,10,4210,0.2370,19
2,3328,57,3271,1.7127,1
3,3492,17,3475,0.4868,13
4,2209,23,2186,1.0412,6
5,2990,11,2979,0.3679,18
6,4101,9,4092,0.2195,20
7,7243,23,7220,0.3175,6
8,10276,9,10267,0.0876,20
9,15838,16,15822,0.1010,16
10,16598,8,16590,0.0482,23
11,16856,53,16803,0.3144,2
12,15420,17,15403,0.1102,13
13,15365,17,15348,0.1106,13
14,16570,23,16547,0.1388,6
15,16461,26,16435,0.1579,5
16,16453,22,16431,0.1337,9
17,16166,29,16137,0.1794,4
18,17039,33,17006,0.1937,3
19,15649,19,15630,0.1214,11
20,16756,18,16738,0.1074,12
21,17703,16,17687,0.0904,16
22,15441,9,15432,0.0583,20
23,10938,21,10917,0.1920,10
